"country","year","iso_code","population","gdp","biofuel_cons_change_pct","biofuel_cons_change_twh","biofuel_cons_per_capita","biofuel_consumption","biofuel_elec_per_capita","biofuel_electricity","biofuel_share_elec","biofuel_share_energy","carbon_intensity_elec","coal_cons_change_pct","coal_cons_change_twh","coal_cons_per_capita","coal_consumption","coal_elec_per_capita","coal_electricity","coal_prod_change_pct","coal_prod_change_twh","coal_prod_per_capita","coal_production","coal_share_elec","coal_share_energy","electricity_demand","electricity_generation","electricity_share_energy","energy_cons_change_pct","energy_cons_change_twh","energy_per_capita","energy_per_gdp","fossil_cons_change_pct","fossil_cons_change_twh","fossil_elec_per_capita","fossil_electricity","fossil_energy_per_capita","fossil_fuel_consumption","fossil_share_elec","fossil_share_energy","gas_cons_change_pct","gas_cons_change_twh","gas_consumption","gas_elec_per_capita","gas_electricity","gas_energy_per_capita","gas_prod_change_pct","gas_prod_change_twh","gas_prod_per_capita","gas_production","gas_share_elec","gas_share_energy","greenhouse_gas_emissions","hydro_cons_change_pct","hydro_cons_change_twh","hydro_consumption","hydro_elec_per_capita","hydro_electricity","hydro_energy_per_capita","hydro_share_elec","hydro_share_energy","low_carbon_cons_change_pct","low_carbon_cons_change_twh","low_carbon_consumption","low_carbon_elec_per_capita","low_carbon_electricity","low_carbon_energy_per_capita","low_carbon_share_elec","low_carbon_share_energy","net_elec_imports","net_elec_imports_share_demand","nuclear_cons_change_pct","nuclear_cons_change_twh","nuclear_consumption","nuclear_elec_per_capita","nuclear_electricity","nuclear_energy_per_capita","nuclear_share_elec","nuclear_share_energy","oil_cons_change_pct","oil_cons_change_twh","oil_consumption","oil_elec_per_capita","oil_electricity","oil_energy_per_capita","oil_prod_change_pct","oil_prod_change_twh","oil_prod_per_capita","oil_production","oil_share_elec","oil_share_energy","other_renewable_consumption","other_renewable_electricity","other_renewable_exc_biofuel_electricity","other_renewables_cons_change_pct","other_renewables_cons_change_twh","other_renewables_elec_per_capita","other_renewables_elec_per_capita_exc_biofuel","other_renewables_energy_per_capita","other_renewables_share_elec","other_renewables_share_elec_exc_biofuel","other_renewables_share_energy","per_capita_electricity","primary_energy_consumption","renewables_cons_change_pct","renewables_cons_change_twh","renewables_consumption","renewables_elec_per_capita","renewables_electricity","renewables_energy_per_capita","renewables_share_elec","renewables_share_energy","solar_cons_change_pct","solar_cons_change_twh","solar_consumption","solar_elec_per_capita","solar_electricity","solar_energy_per_capita","solar_share_elec","solar_share_energy","wind_cons_change_pct","wind_cons_change_twh","wind_consumption","wind_elec_per_capita","wind_electricity","wind_energy_per_capita","wind_share_elec","wind_share_energy"
"Africa",1992,,671931834,,,0,0,0,,,,0,,0.594,5.069,1278.152,858.831,246.186,165.42,2.274,28.324,1895.631,1273.735,50.453,32.481,,327.871,12.4,1.506,39.239,3935.098,,1.96,46.972,384.772,258.541,3637.335,2444.041,78.854,92.433,4.889,19.635,421.27,75.223,50.545,626.954,4.503,34.831,1202.924,808.283,15.416,15.932,,-4.602,-8.254,171.092,86.11,57.86,254.627,17.647,6.471,-3.703,-7.733,200.077,101.204,68.002,297.763,20.741,7.567,,,1.575,0.409,26.355,13.823,9.288,39.222,2.833,0.997,1.951,22.269,1163.94,63.363,42.576,1732.229,1.896,72.7,5815.021,3907.298,12.986,44.02,2.629,0.854,,3.918,0.112,1.271,,3.913,0.26,,0.099,487.953,2644.118,-4.488,-8.142,173.722,87.381,58.714,258.541,17.908,6.57,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
"Africa",1993,,689140286,,,0,0,0,,,,0,,1.5,12.883,1264.93,871.714,255.328,175.957,1.834,23.36,1882.193,1297.095,51.893,32.878,,339.074,12.789,0.275,7.261,3847.371,,0.663,16.202,395.924,272.847,3570.017,2460.243,80.468,92.791,-2.048,-8.626,412.644,80.003,55.133,598.781,3.108,25.124,1209.343,833.407,16.26,15.563,,-2.036,-3.483,167.61,82.251,56.683,243.215,16.717,6.322,-4.578,-8.941,191.136,94.159,64.889,277.354,19.137,7.209,,,-21.888,-5.769,20.586,10.528,7.255,29.872,2.14,0.776,1.026,11.945,1175.885,60.593,41.757,1706.307,-1.304,-50.938,5595.899,3856.36,12.315,44.35,2.934,0.949,,11.175,0.305,1.378,,4.258,0.28,,0.111,492.024,2651.378,-1.84,-3.172,170.55,83.632,57.634,247.482,16.997,6.432,,0,0,0,0,0,0,0,,0.006,0.006,0.003,0.002,0.009,0.001,0
"Africa",1994,,706488557,,,0,0,0,,,,0,,2.608,22.734,1266.047,894.448,254.489,179.794,3.933,51.014,1908.182,1348.109,51.175,32.636,,351.334,12.819,3.369,89.318,3879.322,,3.252,80.001,398.703,281.679,3595.591,2540.244,80.174,92.686,4.649,19.184,431.828,87.902,62.102,611.231,-5.251,-43.76,1117.706,789.646,17.676,15.756,,1.612,2.701,170.311,81.524,57.596,241.067,16.394,6.214,5.018,9.317,200.452,96.456,68.145,283.731,19.396,7.314,,,33.66,6.929,27.515,13.726,9.697,38.947,2.76,1.004,3.239,38.084,1213.968,56.312,39.784,1718.313,-0.201,-7.767,5447.495,3848.593,11.324,44.294,2.61,0.847,,-10.815,-0.324,1.198,,3.695,0.241,,0.095,497.296,2740.697,1.413,2.388,172.937,82.73,58.448,244.784,16.636,6.31,,0,0,0,0,0,0,0,170,0.01,0.016,0.008,0.005,0.023,0.002,0.001
"Africa",1995,,724331972,,,0,0,0,,,,0,,3.133,28.023,1273.548,922.471,258.011,186.886,5.088,68.586,1955.864,1416.695,51.525,32.35,,362.711,12.72,4.045,110.859,3936.807,,3.911,99.345,399.454,289.338,3644.17,2639.589,79.771,92.567,6.812,29.416,461.243,91.552,66.314,636.785,10.519,83.059,1204.841,872.705,18.283,16.175,,3.773,6.425,176.736,82.516,59.769,243.999,16.478,6.198,5.81,11.514,211.966,99.546,72.105,292.637,19.879,7.433,,,16.541,4.551,32.067,15.602,11.301,44.271,3.116,1.125,3.452,41.906,1255.875,49.891,36.138,1733.838,1.62,62.361,5399.393,3910.953,9.963,44.042,3.145,1.028,,21.468,0.534,1.42,,4.342,0.284,,0.11,500.752,2851.555,4.03,6.962,179.899,83.944,60.804,248.366,16.764,6.309,,0,0,0,0,0,0,0,16.667,0.003,0.019,0.009,0.006,0.026,0.002,0.001
"Africa",1996,,742765067,,,0,0,0,,,,0,,1.383,12.757,1259.117,935.228,265.617,197.291,-0.307,-4.344,1901.477,1412.351,51.625,31.982,,382.159,13.069,2.549,72.673,3936.949,,2.388,63.03,410.059,304.578,3638.592,2702.619,79.699,92.422,4.975,22.948,484.192,94.231,69.992,651.877,6.946,60.62,1256.555,933.325,18.315,16.558,,4.262,7.533,184.269,83.898,62.316,248.085,16.306,6.301,4.524,9.644,221.61,101.467,75.366,298.358,19.721,7.578,,,4.194,1.345,33.412,15.853,11.775,44.983,3.081,1.143,2.176,27.324,1283.199,50.211,37.295,1727.597,3.238,126.621,5435.87,4037.574,9.759,43.882,3.908,1.268,,23.275,0.763,1.707,,5.261,0.332,,0.134,514.508,2924.229,4.585,8.299,188.198,85.614,63.591,253.375,16.64,6.436,,0,0,0,0,0,0,0,12.698,0.002,0.021,0.01,0.007,0.028,0.002,0.001
"Africa",1997,,761224818,,,0,0,0,,,,0,,2.544,23.791,1259.837,959.019,270.676,206.045,6.367,89.923,1973.495,1502.273,51.396,32.115,,400.899,13.425,2.118,61.944,3922.852,,2.017,54.507,420.892,320.393,3621.96,2757.126,79.919,92.33,-2.007,-9.716,474.476,99.635,75.844,623.305,11.602,108.286,1368.336,1041.611,18.919,15.889,,2.465,4.542,188.811,83.881,63.852,248.036,15.927,6.323,3.366,7.437,229.046,102.339,77.903,300.892,19.432,7.67,,,7.406,2.474,35.886,16.614,12.647,47.143,3.155,1.202,3.151,40.432,1323.631,50.581,38.504,1738.818,2.325,93.88,5427.377,4131.454,9.604,44.325,4.328,1.396,,10.14,0.42,1.834,,5.685,0.348,,0.145,526.65,2986.172,2.618,4.962,193.16,85.725,65.256,253.749,16.277,6.468,,0,0,0,0,0,0,0,1.408,0,0.021,0.009,0.007,0.028,0.002,0.001
"Africa",1998,,779908311,,,0,0,0,,,,0,,-2.292,-21.98,1201.473,937.039,258.617,201.698,1.343,20.174,1952.085,1522.447,49.623,30.901,,406.459,13.404,1.548,46.23,3888.152,,1.241,34.207,412.946,322.06,3579.052,2791.333,79.236,92.05,5.24,24.861,499.337,99.153,77.33,640.251,6.5,67.705,1422.368,1109.316,19.025,16.467,,4.389,8.287,197.098,85.465,66.655,252.719,16.399,6.5,5.243,12.024,241.07,105.125,81.988,309.1,20.171,7.95,,,7.543,2.707,38.593,17.439,13.601,49.484,3.346,1.273,2.367,31.325,1354.957,55.175,43.032,1737.328,0.336,13.892,5315.171,4145.346,10.587,44.683,5.356,1.724,,23.478,1.029,2.211,,6.868,0.424,,0.177,521.162,3032.402,4.797,9.317,202.477,87.686,68.387,259.616,16.825,6.677,,0,0,0,0,0,0,0,5.556,0.001,0.022,0.01,0.008,0.029,0.002,0.001
"Africa",1999,,799099611,,,0,0,0,,,,0,,3.092,28.972,1208.874,966.011,250.026,199.796,-0.172,-2.62,1901.925,1519.828,47.73,30.909,,418.592,13.394,3.064,92.908,3911.04,,2.979,83.167,413.917,330.761,3597.172,2874.499,79.017,91.975,0.938,4.683,504.02,107.734,86.09,630.734,9.682,107.409,1522.621,1216.726,20.567,16.127,,6.045,11.915,209.013,88.455,70.684,261.56,16.886,6.688,3.98,9.742,250.811,106.684,85.251,313.867,20.366,8.025,,,-5.617,-2.168,36.425,16.064,12.837,45.583,3.067,1.165,3.654,49.512,1404.469,56.157,44.875,1757.564,-2.827,-117.197,5040.86,4028.149,10.72,44.939,5.315,1.71,,-0.838,-0.041,2.14,,6.651,0.408,,0.17,523.83,3125.31,5.889,11.909,214.386,90.619,72.414,268.285,17.299,6.86,,0,0,0,0,0,0,0,160.526,0.036,0.059,0.025,0.02,0.073,0.005,0.002
"Africa",2000,,818952374,,,0,0,0,2.686,2.2,0.523,0,566.068,-0.236,-2.28,1176.785,963.73,237.657,194.63,-0.097,-1.474,1854.02,1518.354,46.28,30.156,422.73,420.55,13.16,2.255,70.469,3902.278,,1.88,54.048,403.149,330.16,3575.967,2928.547,78.507,91.638,10.476,52.803,556.822,109.542,89.71,679.92,11.037,134.287,1649.684,1351.012,21.332,17.424,238.06,6.468,13.518,222.531,90.994,74.52,271.726,17.72,6.963,6.471,16.422,267.233,110.373,90.39,326.311,21.493,8.362,2.18,0.516,1.348,0.491,36.916,15.886,13.01,45.077,3.094,1.155,0.251,3.525,1407.994,55.95,45.82,1719.262,7.228,291.173,5274.204,4319.322,10.895,44.058,7.232,2.63,0.43,35.327,1.917,3.211,0.525,8.831,0.625,0.102,0.226,513.522,3195.78,7.379,15.931,230.317,94.487,77.38,281.234,18.4,7.207,,0.035,0.035,0,0,0.043,0,0.001,786.364,0.46,0.519,0.281,0.23,0.634,0.055,0.016
"Africa",2001,,839464127,,,0,0,0,2.585,2.17,0.496,0,562.114,1.265,12.196,1162.559,975.926,237.318,199.22,-0.251,-3.817,1804.171,1514.537,45.561,29.485,438.1,437.26,13.21,3.573,114.173,3942.936,,3.582,104.91,407.653,342.21,3613.564,3033.457,78.262,91.647,13.975,77.814,634.636,114.811,96.38,756.001,2.768,37.401,1653.928,1388.413,22.042,19.174,245.79,7.459,15.046,237.576,96.752,81.22,283.009,18.575,7.178,4.008,9.263,276.496,113.227,95.05,329.372,21.738,8.353,0.84,0.192,-17.61,-6.698,30.218,12.77,10.72,35.997,2.452,0.913,1.058,14.901,1422.895,55.524,46.61,1695.004,-1.004,-43.346,5093.697,4275.976,10.66,42.988,7.437,2.65,0.48,3.119,0.205,3.157,0.572,8.859,0.606,0.11,0.225,520.88,3309.953,7.624,15.961,246.278,100.457,84.33,293.375,19.286,7.441,25.283,0.009,0.044,0,0,0.052,0,0.001,136.798,0.702,1.221,0.548,0.46,1.454,0.105,0.037
